Al,Au,Co,Cu,Hf,In,Mn,Mo,Nb,Nd,Ni,Pd,Pt,Sc,Ta,Ti,V,Zr,Zn,composition,formula,Alloy System,avg_first_ion_en_divi_voro_coord,avg_first_ion_en,avg_voro_coord,dev_mol_vol,avg_atom_mass,avg_mol_vol,Delta,NiTiHfCu base,a0 (A),a (A),b (A),c (A),beta,Transformation,lambda1_calculated,lambda2_reported,lambda2_calculated,lambda2_combined,lambda3_calculated,lambda1lambda2lambda3,Hysteresis (C),Hysteresis (C) new,Ms (C),Mf (C),As (C),Af (C),Tc (C),Enthalphy AtoM (J/g),Enthalphy MtoA (J/g),Enthalphy avg (J/g),Density_reported(g/cm^3),Enthalphy AtoM (J/cm3),Enthalphy MtoA (J/cm3),Enthalphy avg (J/cm3),Ref 1,Ref 2,Ref 3,Total
0,0,0,7,0,0,0,0,0,0,47,0,0,0,0,46,0,0,0,Cu7.0Ni47.0Ti46.0,Cu7Ni47Ti46,NiTiCu,0.69328885,7.2724878,10.62,1.978552,54.052938,8.4894,8.34,FALSE,3.04,2.91,4.23,4.56,97.5,B19prime,0.923025669,,0.98390187,0.98390187,1.090562234,0.990412285,,,,,,,,,,,,,,,https://doi.org/10.1007/BF02658390,,,100
0,0,0,13,0,0,0,0,0,0,36,0,0,0,0,51,0,0,0,Cu13.0Ni36.0Ti51.0,Cu13Ni36Ti51,NiTiCu,0.69982325,7.2370986,10.47,1.955238,53.802774,8.7231,8.1,FALSE,,,,,,B19,,0.989,,0.989,,,12.61,12.61,,,,,,,,,,,,,https://doi.org/10.1007/s40830-016-0052-5,,,100
0,0,0,22,0,0,0,0,0,0,32,0,0,0,0,46,0,0,0,Cu22.0Ni32.0Ti46.0,Cu11Ni16Ti23,NiTiCu,0.6943711,7.2854748,10.62,1.906792,54.780828,8.5674,7.93,FALSE,3.06,2.92,4.25,4.58,97.5,B19prime,0.920309199,,0.982092752,0.982092752,1.087990947,0.983357763,,,,,,,,,,,,,,,https://doi.org/10.1007/BF02658390,,,100
0,0,0,29,0,0,0,0,0,0,27,0,0,0,0,44,0,0,0,Cu29.0Ni27.0Ti44.0,Cu29Ni27Ti44,NiTiCu,0.69243555,7.307769,10.68,1.863136,55.337038,8.5228,7.76,FALSE,3.06,2.86,4.24,4.5,97.5,B19prime,0.901925564,,0.979781945,0.979781945,1.068362327,0.944101515,,,,,,,,,,,,,,,https://doi.org/10.1007/BF02658390,,,100
0,0,0,9,0,0,0,0,0,0,41,0,0,0,0,50,0,0,0,Cu9.0Ni41.0Ti50.0,Cu9Ni41Ti50,NiTiCu,0.69831435,7.2417522,10.5,1.9782,53.716934,8.6618,8.24,FALSE,3.02,2.9,4.59,4.16,95.2,B19prime,0.942971551,,0.974027884,0.974027884,1.089913766,1.001064633,,,,,,,,,,,,,,,https://doi.org/10.1016/j.intermet.2012.07.020,,,100
0,0,0,9,0,0,0,0,0,0,41,0,0,0,0,50,0,0,0,Cu9.0Ni41.0Ti50.0,Cu9Ni41Ti50,NiTiCu,0.69831435,7.2417522,10.5,1.9782,53.716934,8.6618,8.24,FALSE,3.02,2.89,4.55,4.22,90,B19,0.956953642,,0.988076363,0.988076363,1.065342998,1.007327907,,,,,,,,,,,,,,,https://doi.org/10.1016/j.intermet.2012.07.020,,,100
0,0,0,12,0,0,0,0,0,0,34,0,0,0,0,54,0,0,0,Cu12.0Ni34.0Ti54.0,Cu6Ni17Ti27,NiTiCu,0.703412,7.2118824,10.38,1.944648,53.429456,8.8394,8.04,FALSE,,,,,,B19,,0.991,,0.991,,,21.16,21.16,,,,,,,,,,,,,https://doi.org/10.1007/s40830-016-0052-5,,,100
0,0,0,10,0,0,0,0,0,0,44.5,0,0,0,0,45.5,0,0,0,Cu10.0Ni44.5Ti45.5,Cu20Ni89Ti91,NiTiCu,0.69289515,7.2791436,10.635,1.9612775,54.252648,8.48475,8.27,FALSE,3.06,2.92,4.25,4.56,97.5,B19prime,0.919532062,,0.982092752,0.982092752,1.084155389,0.979063624,,,,,,,,,,,,,,,https://doi.org/10.1007/BF02658390,,,100
0,0,0,8,0,0,0,0,0,0,41,0,0,0,0,51,0,0,0,Cu8.0Ni41.0Ti51.0,Cu8Ni41Ti51,NiTiCu,0.6994625,7.2327696,10.47,1.981758,53.560144,8.6971,8.25,FALSE,3.04,2.9,4.16,4.62,97,B19prime,0.926020648,,0.967619806,0.967619806,1.098772668,0.984539778,,,,,,,,,,,,,,,https://doi.org/10.1016/S1359-6454(97)00479-5,,,100
0,0,0,15,0,0,0,0,0,0,35,0,0,0,0,50,0,0,0,Cu15.0Ni35.0Ti50.0,Cu3Ni7Ti10,NiTiCu,0.69874725,7.246947,10.5,1.947,54.00809,8.693,8.07,FALSE,,,,,,B19,,0.992,,0.992,,,10,9.5,53.85,36.85,45.85,63.85,50.1,,,,,,,106.98,https://doi.org/10.1016/j.actamat.2016.08.065,https://doi.org/10.2320/matertrans1989.31.1050,https://doi.org/10.2320/matertrans1989.31.959,100
